step,lr,train_loss,val_loss,val_psnr_net,val_psnr_heur,seconds
1000,0.00198274,0.0111419,0.00329437,45.8089,46.3322,36.3458
2000,0.00189966,0.00989796,0.00322645,47.1533,46.3322,72.3524
3000,0.00175354,0.00980095,0.00319563,47.4181,46.3322,108.352
4000,0.00155485,0.01004,0.00319492,47.3049,46.3322,144.271
5000,0.00131783,0.00989114,0.00318079,47.4385,46.3322,180.349
6000,0.00105946,0.00978769,0.00317796,47.4169,46.3322,216.412
7000,0.000798266,0.00971273,0.00315091,47.5597,46.3322,252.361
8000,0.000552963,0.0095685,0.00314476,47.5959,46.3322,288.451
9000,0.00034113,0.00966801,0.00315221,47.5907,46.3322,324.481
10000,0.00017795,0.00946858,0.00314534,47.6101,46.3322,360.545
11000,7.51167e-05,0.00960433,0.00314833,47.5881,46.3322,396.474
12000,4e-05,0.00936783,0.00315074,47.5717,46.3322,432.481
