frame,time_s,cpu_ms,gpu_ms,psnr_reproj,ssim_reproj,psnr_direct,ssim_direct,coverage
90,1.516697,1.945400,0.075104,30.404586,0.967495,26.105719,0.895027,0.997748
91,1.533364,2.812500,0.080352,30.438444,0.967394,26.115481,0.895021,0.997746
92,1.550031,1.728800,0.075616,30.463690,0.967664,26.102374,0.895268,0.997743
93,1.566698,1.652000,0.076192,30.485830,0.967708,26.115209,0.895169,0.997738
94,1.583365,1.955800,0.075904,30.553704,0.968000,26.110839,0.895153,0.997737
95,1.600032,1.968500,0.076160,30.507842,0.968164,26.112926,0.895415,0.997737
96,1.616699,1.585900,0.077248,30.497224,0.968253,26.088924,0.895650,0.997734
97,1.633366,1.989100,0.078016,30.530551,0.968109,26.144113,0.895945,0.997730
98,1.650033,1.628300,0.076000,30.802076,0.969877,26.130411,0.895851,0.997726
99,1.666700,2.330400,0.077568,30.805190,0.970133,26.120650,0.896100,0.997725
100,1.683367,1.807700,0.075584,30.794966,0.970223,26.116517,0.895773,0.997721
101,1.700034,2.119700,0.089632,30.784040,0.970174,26.144457,0.896894,0.997724
102,1.716701,2.324900,0.076032,30.884270,0.970588,26.350191,0.897666,0.997719
103,1.733368,2.201300,0.076160,30.811379,0.970471,26.361762,0.897965,0.997716
104,1.750035,1.782000,0.076192,31.260116,0.972418,26.402078,0.899215,0.997713
105,1.766702,1.637100,0.076032,31.349808,0.972460,26.301982,0.897970,0.997713
106,1.783369,1.796200,0.076608,31.379046,0.972108,26.311987,0.897930,0.997711
107,1.800036,1.759800,0.075552,31.386073,0.972368,26.309747,0.897713,0.997709
108,1.816703,1.888500,0.075200,31.299680,0.972066,26.285464,0.897664,0.997704
109,1.833370,1.576800,0.075968,31.417791,0.972454,26.276737,0.897420,0.997702
110,1.850037,1.922400,0.077152,31.679637,0.972815,26.257364,0.896531,0.997700
111,1.866704,1.726000,0.075712,31.514017,0.972303,26.258056,0.896865,0.997701
112,1.883371,1.776200,0.076192,30.762685,0.971079,26.034744,0.895574,0.997699
113,1.900038,1.606300,0.076480,30.351883,0.969513,25.875504,0.893416,0.997696
114,1.916705,1.782900,0.076992,30.377162,0.969157,25.929597,0.893675,0.997692
115,1.933372,1.581400,0.075744,30.460063,0.968784,25.920477,0.893087,0.997690
116,1.950039,1.976100,0.075872,30.572674,0.968968,25.946356,0.892992,0.997690
117,1.966706,1.564100,0.078208,30.525178,0.969043,25.938615,0.893424,0.997689
118,1.983373,1.769600,0.075520,30.415736,0.968873,25.896340,0.892890,0.997687
119,2.000040,1.435600,0.075296,30.417057,0.968999,25.906675,0.893230,0.997683
