frame,interpolated,sample_ms,ready_ms,present_ms,gpu_wait_ms,caught_up
53,0,409.6447,415.7299,419.6405,0.0437,0
54,1,416.1457,423.4100,423.7144,0.1158,0
54,0,416.1457,423.4100,427.2939,0.0426,0
55,1,423.7752,429.8848,430.2194,0.1207,0
55,0,423.7752,429.8848,433.7577,0.2578,0
56,1,430.5234,437.7047,438.0390,0.1209,0
56,0,430.5234,437.7047,441.6625,0.0428,0
57,1,438.1063,444.8120,445.3033,0.2665,0
57,0,438.1063,444.8120,448.8745,0.0444,0
58,1,445.3674,452.3470,452.7516,0.1244,0
58,0,445.3674,452.3470,456.3011,0.0447,0
59,1,452.8155,459.7585,460.0964,0.1217,0
59,0,452.8155,459.7585,463.8056,0.0410,0
60,1,460.1551,467.5899,467.9550,0.1116,0
60,0,460.1551,467.5899,471.6248,0.0412,0
61,1,468.0200,474.7739,475.0650,0.1160,0
61,0,468.0200,474.7739,478.6532,0.0382,0
62,1,475.1507,482.3846,482.7484,0.1225,0
62,0,475.1507,482.3846,486.3643,0.0403,0
63,1,482.8078,489.5126,489.8056,0.1098,0
63,0,482.8078,489.5126,493.3981,0.0416,0
64,1,489.8673,496.6623,497.1293,0.1097,0
64,0,489.8673,496.6623,500.7200,0.0544,0
65,1,497.2110,504.3825,504.6864,0.1179,0
65,0,497.2110,504.3825,508.3002,0.0467,0
66,1,504.7524,511.6791,512.0155,0.1234,0
66,0,504.7524,511.6791,515.7370,0.0445,0
67,1,513.1113,520.0473,520.3616,0.1244,0
67,0,513.1113,520.0473,523.9599,0.0423,0
68,1,520.4987,527.4778,527.8342,0.1217,0
68,0,520.4987,527.4778,531.5050,0.0430,0
69,1,527.8974,535.8722,536.2004,0.1208,0
69,0,527.8974,535.8722,539.8880,0.0453,0
70,1,536.2764,543.6086,543.9952,0.1222,0
70,0,536.2764,543.6086,547.7104,0.0477,0
71,1,544.0711,551.7345,552.0505,0.1138,0
71,0,544.0711,551.7345,555.7908,0.0405,0
72,1,552.1168,559.6344,559.9425,0.1150,0
72,0,552.1168,559.6344,563.8246,0.0418,0
73,1,560.0062,567.9719,568.3005,0.1238,0
73,0,560.0062,567.9719,572.1025,0.0411,0
74,1,568.3708,575.1841,575.6097,0.2315,0
74,0,568.3708,575.1841,579.3648,0.0449,0
75,1,575.6800,582.2812,582.5937,0.1185,0
75,0,575.6800,582.2812,586.3115,0.0382,0
76,1,582.6498,589.5281,589.8349,0.1161,0
76,0,582.6498,589.5281,593.5319,0.0480,0
77,1,589.9009,596.4440,596.7453,0.1153,0
77,0,589.9009,596.4440,600.4137,0.0412,0
78,1,596.8116,603.9233,604.2293,0.1234,0
78,0,596.8116,603.9233,607.9940,0.0428,0
79,1,604.2897,611.1433,611.6583,0.2882,0
79,0,604.2897,611.1433,615.3206,0.0477,0
80,1,611.7265,618.2363,618.5737,0.1203,0
80,0,611.7265,618.2363,622.2324,0.0437,0
81,1,618.6407,625.6499,625.9471,0.1129,0
81,0,618.6407,625.6499,629.5835,0.0361,0
82,1,626.0065,633.2885,633.5875,0.1137,0
82,0,626.0065,633.2885,637.2670,0.0488,0
83,1,633.6612,640.6236,640.9194,0.1131,0
83,0,633.6612,640.6236,644.5669,0.0369,0
84,1,640.9992,647.9031,648.2058,0.1128,0
84,0,640.9992,647.9031,651.8689,0.0412,0
85,1,648.2805,655.3720,655.7147,0.1222,0
85,0,648.2805,655.3720,659.4039,0.0441,0
86,1,655.7914,662.6270,662.9777,0.1176,0
86,0,655.7914,662.6270,666.6298,0.0514,0
87,1,663.0704,670.6243,670.9250,0.1135,0
87,0,663.0704,670.6243,674.6265,0.0424,0
88,1,670.9878,677.8637,678.2935,0.2427,0
88,0,670.9878,677.8637,681.9534,0.0450,0
89,1,678.3613,685.1390,685.4320,0.1131,0
89,0,678.3613,685.1390,689.0756,0.1002,0
90,1,685.5592,692.7927,693.0920,0.1132,0
90,0,685.5592,692.7927,696.8265,0.0440,0
91,1,693.1570,700.0705,700.4594,0.2135,0
91,0,693.1570,700.0705,704.1212,0.0517,0
92,1,700.5332,707.3835,707.7371,0.1168,0
92,0,700.5332,707.3835,711.3841,0.0400,0
93,1,707.7954,714.5405,714.8643,0.1125,0
93,0,707.7954,714.5405,718.4932,0.0422,0
94,1,714.9275,721.7450,722.2010,0.2120,0
94,0,714.9275,721.7450,725.8480,0.0443,0
95,1,722.2655,729.0803,729.3721,0.1126,0
95,0,722.2655,729.0803,733.0105,0.0372,0
96,1,729.4321,736.9139,737.2531,0.1183,0
96,0,729.4321,736.9139,740.8971,0.0422,0
97,1,737.3195,744.1120,744.4520,0.1222,0
97,0,737.3195,744.1120,748.1047,0.0415,0
98,1,744.5117,751.3961,751.6917,0.1150,0
98,0,744.5117,751.3961,755.3238,0.0430,0
99,1,751.7525,758.5122,758.9750,0.2794,0
99,0,751.7525,758.5122,762.6138,0.0372,0
100,1,759.0364,766.2179,766.6781,0.2753,0
100,0,759.0364,766.2179,770.3077,0.0480,0
101,1,766.8029,773.8237,774.1220,0.1093,0
101,0,766.8029,773.8237,777.7858,0.0445,0
102,1,774.1894,781.6669,781.9621,0.1119,0
102,0,774.1894,781.6669,785.6415,0.0376,0
103,1,782.0229,788.9697,789.4237,0.2666,0
103,0,782.0229,788.9697,793.1076,0.0456,0
104,1,789.4871,796.8049,797.1394,0.1202,0
104,0,789.4871,796.8049,800.8005,0.0372,0
105,1,797.1957,804.2856,804.6272,0.1289,0
105,0,797.1957,804.2856,808.3961,0.0426,0
106,1,804.6886,811.8502,812.1814,0.1173,0
106,0,804.6886,811.8502,815.8549,0.0419,0
107,1,812.2451,819.0987,819.3968,0.1139,0
107,0,812.2451,819.0987,823.0703,0.0433,0
108,1,819.4601,826.3929,826.6919,0.1137,0
108,0,819.4601,826.3929,830.5111,0.0403,0
109,1,826.7509,833.9204,834.3006,0.1936,0
109,0,826.7509,833.9204,837.9635,0.0433,0
110,1,834.3649,841.2816,841.5777,0.1125,0
110,0,834.3649,841.2816,845.2369,0.0446,0
111,1,841.6458,848.6375,848.9345,0.1136,0
111,0,841.6458,848.6375,852.6056,0.0426,0
112,1,848.9962,856.1316,856.4759,0.1571,0
112,0,848.9962,856.1316,860.1373,0.0454,0
113,1,856.5419,863.3571,863.8340,0.2842,0
113,0,856.5419,863.3571,867.5045,0.1658,0
114,1,864.0236,870.9569,871.2895,0.1222,0
114,0,864.0236,870.9569,874.9334,0.0398,0
115,1,871.3480,878.0740,878.5098,0.2261,0
115,0,871.3480,878.0740,882.1415,0.0398,0
116,1,878.5925,885.4085,885.7728,0.1579,0
116,0,878.5925,885.4085,889.4340,0.0433,0
117,1,885.8366,892.9154,893.2512,0.1248,0
117,0,885.8366,892.9154,896.9916,0.0405,0
118,1,893.3107,900.9459,901.4056,0.1198,0
118,0,893.3107,900.9459,905.1739,0.0452,0
119,1,901.5049,908.9964,909.3010,0.1166,0
119,0,901.5049,908.9964,912.9863,0.0455,0
120,1,909.3686,916.4600,916.8013,0.1125,0
120,0,909.3686,916.4600,920.4841,0.0440,0
121,1,916.8649,923.9119,924.2109,0.1136,0
121,0,916.8649,923.9119,927.8940,0.0410,0
122,1,924.2713,931.7007,931.9987,0.1109,0
122,0,924.2713,931.7007,935.6972,0.0435,0
123,1,932.0837,939.5672,939.8723,0.1114,0
123,0,932.0837,939.5672,943.5873,0.0397,0
124,1,939.9316,946.9865,947.4398,0.1239,0
124,0,939.9316,946.9865,951.1672,0.0482,0
125,1,947.5074,954.5966,954.8920,0.1160,0
125,0,947.5074,954.5966,958.6207,0.0944,0
126,1,955.0286,962.3197,962.6279,0.1160,0
126,0,955.0286,962.3197,966.3925,0.0371,0
127,1,962.6879,970.4474,970.7447,0.1125,0
127,0,962.6879,970.4474,974.4941,0.0441,0
128,1,970.8093,977.6477,977.9913,0.1601,0
128,0,970.8093,977.6477,981.7476,0.0567,0
129,1,978.0960,985.6000,985.8962,0.1121,0
129,0,978.0960,985.6000,989.6474,0.0369,0
130,1,985.9581,993.0690,993.3691,0.1169,0
130,0,985.9581,993.0690,997.1637,0.0459,0
131,1,993.4371,1001.3188,1001.6636,0.1219,0
131,0,993.4371,1001.3188,1005.4497,0.0417,0
132,1,1001.7272,1009.1823,1009.5016,0.1300,0
132,0,1001.7272,1009.1823,1013.3924,0.0370,0
133,1,1009.5658,1016.7904,1017.2131,0.2283,0
133,0,1009.5658,1016.7904,1020.9928,0.0441,0
134,1,1018.1920,1025.3366,1025.7343,0.1306,0
134,0,1018.1920,1025.3366,1029.5443,0.0503,0
135,1,1025.8823,1033.8883,1034.1845,0.1130,0
135,0,1025.8823,1033.8883,1038.0019,0.0459,0
136,1,1034.2536,1041.5661,1041.8700,0.1160,0
136,0,1034.2536,1041.5661,1045.6817,0.0435,0
137,1,1041.9341,1049.0477,1049.4186,0.1190,0
137,0,1041.9341,1049.0477,1053.2247,0.0393,0
138,1,1049.4802,1056.8896,1057.1882,0.1111,0
138,0,1049.4802,1056.8896,1060.9920,0.0375,0
139,1,1057.2455,1064.6697,1065.0159,0.1583,0
139,0,1057.2455,1064.6697,1068.8706,0.0391,0
140,1,1065.0808,1072.5624,1072.8618,0.1126,0
140,0,1065.0808,1072.5624,1076.6797,0.0418,0
141,1,1072.9228,1080.0786,1080.3789,0.1109,0
141,0,1072.9228,1080.0786,1084.1806,0.0368,0
142,1,1080.4397,1087.5963,1087.9316,0.1212,0
142,0,1080.4397,1087.5963,1091.7303,0.0444,0
143,1,1087.9953,1095.1559,1095.4546,0.1134,0
143,0,1087.9953,1095.1559,1099.2529,0.0464,0
144,1,1095.5242,1102.6580,1102.9532,0.1119,0
144,0,1095.5242,1102.6580,1106.7908,0.0378,0
145,1,1103.0272,1110.0684,1110.3654,0.1166,0
145,0,1103.0272,1110.0684,1114.1423,0.1637,0
146,1,1110.5571,1117.4685,1117.7742,0.1159,0
146,0,1110.5571,1117.4685,1121.5908,0.0370,0
147,1,1117.8310,1124.5973,1124.9819,0.2014,0
147,0,1117.8310,1124.5973,1128.7191,0.0437,0
148,1,1125.0449,1132.2889,1132.7541,0.1264,0
148,0,1125.0449,1132.2889,1136.5126,0.0483,0
149,1,1132.8455,1139.5190,1139.8509,0.1194,0
149,0,1132.8455,1139.5190,1143.5555,0.0444,0
150,1,1139.9298,1146.5660,1146.9149,0.1342,0
150,0,1139.9298,1146.5660,1150.6149,0.0417,0
151,1,1146.9926,1153.6163,1153.9573,0.1239,0
151,0,1146.9926,1153.6163,1157.7700,0.0432,0
152,1,1154.0341,1160.2436,1160.5723,0.1173,0
152,0,1154.0341,1160.2436,1164.1983,0.0435,0
153,1,1160.6363,1168.3110,1168.6115,0.1156,0
153,0,1160.6363,1168.3110,1172.2617,0.0429,0
154,1,1168.6765,1175.5866,1175.8833,0.1128,0
154,0,1168.6765,1175.5866,1179.5332,0.0447,0
155,1,1175.9505,1182.3971,1182.7543,0.1162,0
155,0,1175.9505,1182.3971,1186.4049,0.0390,0
156,1,1182.8122,1189.4309,1189.7679,0.1193,0
156,0,1182.8122,1189.4309,1193.4595,0.0478,0
157,1,1189.8350,1196.2283,1196.5598,0.1204,0
157,0,1189.8350,1196.2283,1200.1845,0.0613,0
158,1,1196.6546,1203.8273,1204.1401,0.1124,0
158,0,1196.6546,1203.8273,1207.8543,0.0724,0
159,1,1204.2372,1210.5337,1211.0351,0.2925,0
159,0,1204.2372,1210.5337,1214.6228,0.1136,0
160,1,1211.1704,1217.8036,1218.1438,0.1205,0
160,0,1211.1704,1217.8036,1221.7449,0.0455,0
161,1,1218.2097,1224.2320,1224.5279,0.1087,0
161,0,1218.2097,1224.2320,1228.2361,0.1704,0
162,1,1224.7216,1231.9387,1232.2618,0.1102,0
162,0,1224.7216,1231.9387,1235.7978,0.0435,0
163,1,1232.3270,1239.0452,1239.3512,0.1207,0
