[gl:warn] Buffer performance warning: Buffer object 209 (bound to NONE, usage hint is GL_DYNAMIC_DRAW) is being copied/moved from VIDEO memory to HOST memory.
[gl:warn] Buffer performance warning: Buffer object 210 (bound to NONE, usage hint is GL_DYNAMIC_DRAW) is being copied/moved from VIDEO memory to DMA CACHED memory.
[gl:warn] Buffer performance warning: Buffer object 211 (bound to NONE, usage hint is GL_DYNAMIC_DRAW) is being copied/moved from VIDEO memory to DMA CACHED memory.
[gl:warn] Buffer performance warning: Buffer object 209 (bound to NONE, usage hint is GL_DYNAMIC_DRAW) is being copied/moved from VIDEO memory to DMA CACHED memory.
[gl] NVIDIA GeForce RTX 5070/PCIe/SSE2 | 4.6.0 NVIDIA 616.92 | GLSL 4.60 NVIDIA
[gltf] C:/Users/Korisnik/Desktop/a/assets/sponza/Sponza.gltf: 103 meshes, 103 instances, 25 textures
[app] keys: 1-9 debug views | 0 interpolated frame | J jitter | P scripted path | V vsync | F1-F5 scaling mode | SPACE pause | F12 screenshot | ESC quit
[app]       G frame generation | Y pacing | H HUD | T tear lines | [ ] synthetic load
[gpu] G-buffer                   0.166 ms (last   0.161)
[gpu] Synthetic load             1.335 ms (last   1.294)
[gpu] load G-buffer              0.327 ms (last   0.324)
[gpu] Tonemap                    0.015 ms (last   0.015)
[gpu] FSR dilate                 0.040 ms (last   0.038)
[gpu] FSR locks                  0.013 ms (last   0.013)
[gpu] FSR accumulate             0.136 ms (last   0.136)
[gpu] Optical flow               0.319 ms (last   0.241)
[gpu] OF pyramid                 0.025 ms (last   0.026)
[gpu] OF scene change            0.018 ms (last   0.019)
[gpu] OF flow                    0.273 ms (last   0.194)
[gpu] OF level 6                 0.017 ms (last   0.017)
[gpu] OF level 5                 0.021 ms (last   0.014)
[gpu] OF level 4                 0.013 ms (last   0.013)
[gpu] OF level 3                 0.015 ms (last   0.016)
[gpu] OF level 2                 0.025 ms (last   0.016)
[gpu] OF level 1                 0.071 ms (last   0.030)
[gpu] OF level 0                 0.108 ms (last   0.086)
[gpu] Frame generation           0.510 ms (last   0.598)
[gpu] FG interpolate             0.061 ms (last   0.062)
[gpu] Present                    0.058 ms (last   0.228)
[gpu] FG setup                   0.013 ms (last   0.012)
[gpu] FG depth                   0.011 ms (last   0.011)
[gpu] FG game vector field       0.238 ms (last   0.347)
[gpu] FG flow vector field       0.073 ms (last   0.049)
[gpu] FG disocclusion masks      0.034 ms (last   0.034)
[gpu] FG image inpaint           0.049 ms (last   0.050)
[gpu] TOTAL                      2.593 ms (last   2.725)
[present] 4304 presents (2152 real, 2152 generated)  interval mean 1.842 ms (542.9 fps)  std 1.561 ms  p99 4.169 ms
[present] latency sample -> real frame 3.83 ms   sample -> generated frame 3.53 ms
