frame,interpolated,sample_ms,ready_ms,present_ms,gpu_wait_ms,caught_up
121,0,1019.7398,1028.4852,1028.8849,0.1756,0
122,0,1028.6961,1037.9764,1038.3278,0.1158,0
123,0,1038.1374,1046.8448,1047.1718,0.1180,0
124,0,1046.9945,1055.8035,1056.1593,0.1188,0
125,0,1055.9559,1064.5899,1064.9704,0.1237,0
126,0,1064.7511,1073.7021,1074.0568,0.1189,0
127,0,1073.8552,1082.2510,1082.8040,0.3030,0
128,0,1082.5950,1090.7951,1091.1672,0.1140,0
129,0,1090.9537,1099.0032,1099.4368,0.2105,0
130,0,1099.2537,1107.1258,1107.5252,0.1184,0
131,0,1107.2811,1115.1773,1115.5245,0.1208,0
132,0,1115.3386,1123.0669,1123.4274,0.1163,0
133,0,1123.2175,1130.6921,1131.2089,0.1172,0
134,0,1130.8944,1138.7661,1139.2898,0.1119,0
135,0,1138.9733,1146.5200,1147.0391,0.1229,0
136,0,1146.7231,1154.5358,1154.9212,0.1615,0
137,0,1154.7325,1162.2686,1162.6716,0.1620,0
138,0,1162.4694,1170.0160,1170.3644,0.1196,0
139,0,1170.1763,1177.5401,1177.8908,0.1191,0
140,0,1177.6963,1185.1969,1185.5214,0.1155,0
141,0,1185.3449,1192.3913,1192.7278,0.1136,0
142,0,1192.5406,1199.9929,1200.3165,0.1134,0
143,0,1200.1414,1207.4609,1207.8165,0.1251,0
144,0,1207.6277,1214.7635,1215.1692,0.1290,0
145,0,1214.9309,1222.3654,1222.7565,0.1585,0
146,0,1222.5654,1229.9213,1230.2637,0.1128,0
147,0,1230.0742,1237.3154,1237.6452,0.1159,0
148,0,1237.4659,1244.7487,1245.1562,0.1255,0
149,0,1244.9104,1252.3639,1252.6967,0.1151,0
150,0,1252.5109,1259.6686,1260.1129,0.1694,0
151,0,1259.8799,1267.4147,1267.7576,0.1148,0
152,0,1267.5735,1274.9345,1275.2715,0.1166,0
153,0,1275.0886,1282.2208,1282.7651,0.3223,0
154,0,1282.5813,1289.7343,1290.0854,0.1117,0
155,0,1289.8823,1297.0348,1297.3628,0.1161,0
156,0,1297.1865,1304.5978,1304.9579,0.1192,0
157,0,1304.7525,1311.9203,1312.2758,0.1196,0
158,0,1312.0737,1319.4407,1319.7739,0.1177,0
159,0,1319.5933,1326.7268,1327.1273,0.1244,0
160,0,1326.8879,1334.4896,1334.8497,0.1219,0
161,0,1334.6481,1341.8266,1342.1898,0.1194,0
162,0,1341.9860,1349.3653,1349.7225,0.1170,0
163,0,1349.5164,1356.7692,1357.1280,0.1207,0
164,0,1356.9275,1364.0719,1364.4311,0.1229,0
165,0,1364.2292,1371.6064,1371.9733,0.1220,0
166,0,1371.7695,1378.9756,1379.3400,0.1193,0
167,0,1379.1314,1386.2186,1386.5767,0.1193,0
168,0,1386.3720,1393.5185,1393.8855,0.1225,0
169,0,1393.6785,1401.1945,1401.5606,0.1288,0
170,0,1401.3580,1408.2272,1408.5651,0.1154,0
171,0,1408.3813,1415.4868,1415.8721,0.1191,0
172,0,1415.6524,1422.8927,1423.2577,0.1214,0
173,0,1423.0523,1430.3060,1430.6697,0.1227,0
174,0,1430.4659,1437.7684,1438.2095,0.1263,0
175,0,1437.9297,1445.1172,1445.5305,0.1268,0
176,0,1445.2833,1452.6770,1453.0362,0.1194,0
177,0,1452.8300,1459.9732,1460.3296,0.1081,0
178,0,1460.1283,1467.3752,1467.7118,0.1128,0
179,0,1467.5274,1474.4733,1474.7994,0.1149,0
180,0,1474.6235,1481.6979,1482.0646,0.1209,0
181,0,1481.8589,1489.2467,1489.6558,0.1615,0
182,0,1489.4701,1496.9574,1497.2997,0.1212,0
183,0,1497.1146,1504.4225,1504.7842,0.1124,0
184,0,1504.5672,1511.7212,1512.0357,0.1146,0
185,0,1512.3215,1519.1082,1519.5108,0.1153,0
186,0,1519.3078,1526.5581,1526.9094,0.1104,0
187,0,1526.7044,1533.9614,1534.2986,0.1140,0
188,0,1534.1119,1541.1799,1541.5067,0.1151,0
189,0,1541.3286,1548.2677,1548.6087,0.1151,0
190,0,1548.4172,1555.5746,1555.9127,0.1262,0
191,0,1555.7372,1562.7729,1563.1051,0.1108,0
192,0,1562.9235,1570.0401,1570.3667,0.1169,0
193,0,1570.2367,1577.1019,1577.4979,0.1232,0
194,0,1577.2601,1584.7320,1585.1490,0.1686,0
195,0,1584.9355,1591.9700,1592.3451,0.1237,0
196,0,1592.1350,1599.3825,1599.7384,0.1159,0
197,0,1599.5354,1606.6300,1606.9883,0.1197,0
198,0,1606.7847,1613.9701,1614.3369,0.1205,0
199,0,1614.1274,1621.3135,1621.6815,0.1296,0
200,0,1621.4815,1628.5444,1629.0789,0.1198,0
201,0,1628.7293,1636.2381,1636.7789,0.1119,0
202,0,1636.4433,1643.6843,1644.0881,0.1140,0
203,0,1643.8828,1651.0678,1651.4942,0.1546,0
204,0,1651.2644,1658.4778,1658.8611,0.1490,0
205,0,1658.6654,1666.1031,1666.4630,0.1170,0
206,0,1666.2551,1673.4566,1673.8459,0.1237,0
207,0,1673.6297,1680.7581,1681.1329,0.1245,0
208,0,1680.9261,1688.1937,1688.5910,0.1280,0
209,0,1688.3579,1695.4633,1695.8401,0.1252,0
210,0,1695.6273,1703.0415,1703.4217,0.1209,0
211,0,1703.1961,1710.2678,1710.6290,0.1215,0
212,0,1710.4276,1717.7302,1718.1393,0.1674,0
213,0,1717.9316,1725.1853,1725.5460,0.1201,0
214,0,1725.3426,1732.6018,1732.9625,0.1168,0
215,0,1732.7528,1739.9562,1740.3019,0.1171,0
216,0,1740.1159,1747.0986,1747.4294,0.1105,0
217,0,1747.2446,1754.4766,1754.8669,0.1140,0
218,0,1754.6267,1761.7732,1762.1400,0.1215,0
219,0,1761.9328,1769.3782,1769.7361,0.1194,0
220,0,1769.5316,1776.4742,1776.8173,0.1136,0
