frame,interpolated,sample_ms,ready_ms,present_ms,gpu_wait_ms,caught_up
0,0,8.3643,14.0689,18.2038,3.0712,0
1,1,17.1806,19.9888,23.1491,2.6728,0
1,0,17.1806,19.9888,25.8396,0.0452,1
2,1,23.2426,25.5770,28.2627,2.2719,0
2,0,23.2426,25.5770,32.0976,2.0362,0
3,1,30.3233,32.3721,32.6363,0.0873,0
3,0,30.3233,32.3721,34.8957,0.0404,1
4,1,32.6993,34.7242,35.2756,0.2265,0
4,0,32.6993,34.7242,37.7167,0.0491,1
5,1,35.3480,37.5063,37.9466,0.0523,0
5,0,35.3480,37.5063,39.4422,0.0542,1
6,1,38.0224,39.2691,39.7310,0.1575,0
6,0,38.0224,39.2691,41.1516,0.0360,1
7,1,39.7857,40.9764,41.3336,0.0522,0
7,0,39.7857,40.9764,43.0069,0.0351,1
8,1,41.3889,42.8126,43.1815,0.0441,0
8,0,41.3889,42.8126,44.6292,0.0439,1
9,1,43.2452,44.4305,44.8099,0.0456,0
9,0,43.2452,44.4305,46.4210,0.0358,1
10,1,44.8875,46.2418,46.5992,0.0532,0
10,0,44.8875,46.2418,48.2669,0.0359,0
11,1,46.6553,48.1302,48.4296,0.0371,0
11,0,46.6553,48.1302,49.8693,0.0363,1
12,1,48.4935,49.7318,50.1031,0.0375,0
12,0,48.4935,49.7318,51.6009,0.0377,0
13,1,50.1592,51.5963,51.8179,0.0937,0
13,0,50.1592,51.5963,53.2553,0.0359,0
14,1,51.8901,53.2989,53.5698,0.0644,0
14,0,51.8901,53.2989,54.9593,0.0961,0
15,1,53.6927,54.9553,55.1257,0.0388,0
15,0,53.6927,54.9553,56.4401,0.0355,0
16,1,55.1805,56.6305,56.8664,0.0861,0
16,0,55.1805,56.6305,58.1323,0.0354,0
17,1,56.9196,58.1281,58.3080,0.0499,0
17,0,56.9196,58.1281,59.5216,0.0338,0
18,1,58.3589,59.6715,60.1018,0.2834,0
18,0,58.3589,59.6715,61.3942,0.0357,0
19,1,60.1549,61.3879,61.6339,0.0574,0
19,0,60.1549,61.3879,62.7958,0.1852,0
20,1,61.8458,63.0323,63.2745,0.0877,0
20,0,61.8458,63.0323,64.3655,0.0410,0
21,1,63.3337,64.4979,64.9949,0.3493,0
21,0,63.3337,64.4979,66.0433,0.0365,0
22,1,65.0494,66.2216,66.4547,0.0868,0
22,0,65.0494,66.2216,67.4722,0.0378,0
23,1,66.5098,67.9465,68.1802,0.0866,0
23,0,66.5098,67.9465,69.1760,0.0365,0
24,1,68.2500,69.4593,69.7837,0.1080,0
24,0,68.2500,69.4593,70.7751,0.4076,0
25,1,70.2195,71.4035,71.6723,0.0883,0
25,0,70.2195,71.4035,72.6627,0.0441,0
26,1,71.7432,72.9706,73.4456,0.3047,0
26,0,71.7432,72.9706,74.3595,0.0517,0
27,1,73.5425,74.8015,75.1176,0.0933,0
27,0,73.5425,74.8015,76.2403,0.0353,0
28,1,75.1720,76.6466,76.9105,0.0824,0
28,0,75.1720,76.6466,77.8894,0.0424,0
29,1,76.9735,78.1516,78.3917,0.0868,0
29,0,76.9735,78.1516,79.2628,0.2261,0
30,1,78.6376,79.8241,80.0779,0.0881,0
30,0,78.6376,79.8241,80.9720,0.0367,0
31,1,80.1325,81.2962,81.7981,0.3472,0
31,0,80.1325,81.2962,82.6352,0.0356,0
32,1,81.8571,83.0746,83.3299,0.0834,0
32,0,81.8571,83.0746,84.1573,0.0360,0
33,1,83.3873,84.8660,85.1225,0.0900,0
33,0,83.3873,84.8660,85.9671,0.0358,0
34,1,85.1767,86.3465,86.7791,0.2512,0
34,0,85.1767,86.3465,87.5993,0.2721,0
35,1,87.0731,88.2565,88.5374,0.0834,0
35,0,87.0731,88.2565,89.4287,0.0465,0
36,1,88.6050,89.7835,90.2626,0.3133,0
36,0,88.6050,89.7835,91.0591,0.1602,0
37,1,90.4430,91.6107,92.0436,0.0846,0
37,0,90.4430,91.6107,92.8989,0.0494,0
38,1,92.1366,93.5177,93.8701,0.0659,0
38,0,92.1366,93.5177,94.6721,0.0442,0
39,1,93.9352,95.1127,95.6378,0.3468,0
39,0,93.9352,95.1127,96.4181,0.0407,0
40,1,95.6959,96.8577,97.1111,0.0870,0
40,0,95.6959,96.8577,97.8968,0.0355,0
41,1,97.1637,98.5973,98.8523,0.0862,0
41,0,97.1637,98.5973,99.6273,0.0370,0
42,1,98.9066,100.0670,100.3473,0.0860,0
42,0,98.9066,100.0670,101.1137,0.0399,0
43,1,100.4056,101.6931,101.9533,0.0867,0
43,0,100.4056,101.6931,102.7376,0.0451,0
44,1,102.0192,103.3977,103.7583,0.0914,0
44,0,102.0192,103.3977,104.5760,0.0471,0
45,1,103.8294,105.0085,105.2720,0.0873,0
45,0,103.8294,105.0085,106.0377,0.0444,0
46,1,105.3346,106.4962,107.0100,0.3240,0
46,0,105.3346,106.4962,107.7692,0.0445,0
47,1,107.0771,108.2566,108.5256,0.0798,0
47,0,107.0771,108.2566,109.2978,0.0406,0
48,1,108.5954,110.0113,110.2775,0.0961,0
48,0,108.5954,110.0113,111.0604,0.0413,0
49,1,110.3381,111.5074,112.0193,0.3416,0
49,0,110.3381,111.5074,112.7712,0.0361,0
50,1,112.1005,113.3350,113.5755,0.0686,0
50,0,112.1005,113.3350,114.3272,0.0411,0
51,1,113.6549,114.8446,115.3471,0.3360,0
51,0,113.6549,114.8446,116.0924,0.0365,0
52,1,115.4040,116.5842,116.8912,0.0791,0
52,0,115.4040,116.5842,117.6326,0.0364,0
53,1,116.9462,118.3711,118.6255,0.0865,0
53,0,116.9462,118.3711,119.3981,0.0341,0
54,1,118.7423,120.1045,120.4483,0.0879,0
54,0,118.7423,120.1045,121.2411,0.0574,0
55,1,120.5296,121.7111,122.0077,0.0877,0
55,0,120.5296,121.7111,122.8467,0.0400,0
56,1,122.0696,123.4914,123.7800,0.0843,0
56,0,122.0696,123.4914,124.5658,0.1042,0
57,1,123.9069,125.0816,125.3477,0.0855,0
57,0,123.9069,125.0816,126.1147,0.0341,0
58,1,125.3993,126.7098,126.9543,0.0790,0
58,0,125.3993,126.7098,127.7096,0.0416,0
59,1,127.0129,128.1909,129.1164,0.3581,0
59,0,127.0129,128.1909,129.8778,0.0459,0
60,1,129.1831,130.3623,130.6853,0.0625,0
60,0,129.1831,130.3623,131.5011,0.0371,0
61,1,130.7441,132.2267,132.4964,0.0853,0
61,0,130.7441,132.2267,133.2581,0.0401,0
62,1,132.5587,133.7478,134.2867,0.3469,0
62,0,132.5587,133.7478,135.0469,0.0406,0
63,1,134.3498,135.5304,135.7837,0.0846,0
63,0,134.3498,135.5304,136.5443,0.0414,0
64,1,135.8429,137.2165,137.4589,0.0815,0
64,0,135.8429,137.2165,138.2426,0.1417,0
65,1,137.6194,138.8906,139.1843,0.0986,0
65,0,137.6194,138.8906,139.9373,0.0396,0
66,1,139.2629,140.5479,140.7955,0.0679,0
66,0,139.2629,140.5479,141.5504,0.0398,0
67,1,140.8625,142.0384,142.5709,0.3522,0
67,0,140.8625,142.0384,143.3194,0.0372,0
68,1,142.6443,143.8397,144.0750,0.0696,0
68,0,142.6443,143.8397,144.8171,0.0405,0
69,1,144.1361,145.3181,145.8410,0.3563,0
69,0,144.1361,145.3181,146.5822,0.0366,0
70,1,145.8955,147.0693,147.3579,0.0837,0
70,0,145.8955,147.0693,148.1232,0.0343,0
71,1,147.4110,148.8729,149.1299,0.0869,0
71,0,147.4110,148.8729,149.8759,0.0378,0
72,1,149.1854,150.3514,150.8618,0.3121,0
72,0,149.1854,150.3514,151.6036,0.0397,0
73,1,150.9202,152.0795,152.3732,0.0829,0
73,0,150.9202,152.0795,153.2224,0.0412,0
74,1,152.4323,153.7873,154.1038,0.0819,0
74,0,152.4323,153.7873,154.9053,0.0836,0
75,1,154.2103,155.3932,155.7906,0.0934,0
75,0,154.2103,155.3932,156.5338,0.0408,0
76,1,155.8562,157.2182,157.4710,0.0843,0
