frame,interpolated,sample_ms,ready_ms,present_ms,gpu_wait_ms,caught_up
53,0,184.1031,186.2213,187.8994,0.1891,0
54,1,186.8566,189.0373,189.4197,0.1991,0
54,0,186.8566,189.0373,190.6775,0.0450,0
55,1,189.4849,191.7472,192.1466,0.2100,0
55,0,189.4849,191.7472,193.4000,0.1220,0
56,1,192.3016,194.3866,194.9507,0.3299,0
56,0,192.3016,194.3866,196.2285,0.1346,0
57,1,195.1054,197.1821,197.7162,0.3516,0
57,0,195.1054,197.1821,198.9367,0.0432,0
58,1,197.7776,200.7141,201.1998,0.3076,0
58,0,197.7776,200.7141,202.5080,0.0377,0
59,1,201.2775,204.2335,204.5735,0.1262,0
59,0,201.2775,204.2335,205.9251,0.0591,0
60,1,204.6514,206.7347,207.0207,0.0876,0
60,0,204.6514,206.7347,208.3245,0.1876,0
61,1,207.2286,209.3192,209.6048,0.0865,0
61,0,207.2286,209.3192,210.8967,0.1913,0
62,1,209.8186,211.9191,212.1720,0.0872,0
62,0,209.8186,211.9191,213.4435,0.2366,0
63,1,212.4309,214.5129,214.7713,0.0758,0
63,0,212.4309,214.5129,216.0377,0.2218,0
64,1,215.0143,217.1430,217.4619,0.0775,0
64,0,215.0143,217.1430,218.7390,0.0525,0
65,1,217.5335,219.6833,220.0635,0.2136,0
65,0,217.5335,219.6833,221.3253,0.0775,0
66,1,220.1645,222.2935,222.6874,0.2086,0
66,0,220.1645,222.2935,223.9436,0.0430,0
67,1,222.7486,224.8170,225.3830,0.3578,0
67,0,222.7486,224.8170,226.6612,0.0382,0
68,1,225.4424,227.5370,228.0461,0.3458,0
68,0,225.4424,227.5370,229.2928,0.0384,0
69,1,228.1065,230.1926,230.7456,0.3660,0
69,0,228.1065,230.1926,231.9944,0.0463,0
70,1,230.8129,233.8351,234.1241,0.1155,0
70,0,230.8129,233.8351,235.4065,0.0360,0
71,1,234.1817,236.4035,237.0006,0.4428,0
71,0,234.1817,236.4035,238.2790,0.2353,0
72,1,237.2856,239.4307,239.7150,0.0890,0
72,0,237.2856,239.4307,240.9866,0.0369,0
73,1,239.7715,241.9741,242.3586,0.2084,0
73,0,239.7715,241.9741,243.6260,0.0450,0
74,1,242.4264,244.5574,244.9444,0.2164,0
74,0,242.4264,244.5574,246.2015,0.0354,0
75,1,244.9974,247.0613,247.6212,0.3449,0
75,0,244.9974,247.0613,248.9004,0.0363,0
76,1,247.6876,249.8480,250.3918,0.3448,0
76,0,247.6876,249.8480,251.6465,0.0404,0
77,1,250.4552,252.5373,253.0537,0.3404,0
77,0,250.4552,252.5373,254.3073,0.0872,0
78,1,253.1621,255.2986,255.7996,0.3419,0
78,0,253.1621,255.2986,257.1415,0.0371,0
79,1,255.8567,257.9498,258.4617,0.3468,0
79,0,255.8567,257.9498,259.7209,0.0418,0
80,1,258.5253,260.6204,261.1359,0.3463,0
80,0,258.5253,260.6204,262.3687,0.0412,0
81,1,261.2011,263.2870,263.7971,0.3353,0
81,0,261.2011,263.2870,265.0439,0.0408,0
82,1,263.8556,266.8565,267.1364,0.1158,0
82,0,263.8556,266.8565,268.4119,0.0427,0
83,1,267.1970,269.2670,269.8202,0.3568,0
83,0,267.1970,269.2670,271.0920,0.0369,0
84,1,269.8791,271.9977,272.5798,0.3548,0
84,0,269.8791,271.9977,273.8346,0.0393,0
85,1,272.6385,274.7428,275.3675,0.3553,0
85,0,272.6385,274.7428,276.6176,0.0403,0
86,1,275.4255,277.5226,278.0212,0.3449,0
86,0,275.4255,277.5226,279.3436,0.0359,0
87,1,278.0738,280.1873,280.7088,0.3521,0
87,0,278.0738,280.1873,281.9775,0.0413,0
88,1,280.7691,282.8581,283.3793,0.3513,0
88,0,280.7691,282.8581,284.6691,0.0417,0
89,1,283.4392,285.5041,286.0140,0.3459,0
89,0,283.4392,285.5041,287.2853,0.0414,0
90,1,286.0725,288.7520,289.0406,0.1154,0
90,0,286.0725,288.7520,290.3444,0.0377,0
91,1,289.0994,291.2662,291.8139,0.3776,0
91,0,289.0994,291.2662,293.0786,0.0405,0
92,1,291.8796,293.9603,294.5571,0.3524,0
92,0,291.8796,293.9603,295.8566,0.0524,0
93,1,294.6319,296.7383,297.2684,0.3572,0
93,0,294.6319,296.7383,298.5702,0.0518,0
94,1,297.3384,300.2631,300.5841,0.1531,0
94,0,297.3384,300.2631,301.8617,0.0413,0
95,1,300.6442,302.8389,303.3176,0.2211,0
95,0,300.6442,302.8389,304.6216,0.2055,0
96,1,303.5495,305.7174,306.1019,0.2052,0
96,0,303.5495,305.7174,307.3687,0.0405,0
97,1,306.1663,308.4522,308.8333,0.2049,0
97,0,306.1663,308.4522,310.1762,0.0388,0
98,1,308.8933,311.1633,311.5746,0.2015,0
98,0,308.8933,311.1633,312.8442,0.0435,0
99,1,311.6385,313.7208,314.3736,0.3431,0
99,0,311.6385,313.7208,315.6349,0.0459,0
100,1,314.4516,316.7353,317.1313,0.2034,0
100,0,314.4516,316.7353,318.4074,0.0435,0
101,1,317.1943,319.2973,319.8472,0.3474,0
101,0,317.1943,319.2973,321.1167,0.0372,0
102,1,319.9547,322.0869,322.6833,0.3447,0
102,0,319.9547,322.0869,323.9347,0.0429,0
103,1,322.7460,324.8244,325.4659,0.3459,0
103,0,322.7460,324.8244,326.7353,0.0472,0
104,1,325.5419,327.8450,328.2990,0.2024,0
104,0,325.5419,327.8450,329.5514,0.0435,0
105,1,328.3643,330.4376,331.0044,0.3533,0
105,0,328.3643,330.4376,332.2326,0.0424,0
106,1,331.0650,333.9863,334.3092,0.1156,0
106,0,331.0650,333.9863,335.5850,0.1474,0
107,1,334.4758,336.5670,337.1634,0.4068,0
107,0,334.4758,336.5670,338.4393,0.0670,0
108,1,337.2520,339.3751,339.6313,0.0917,0
108,0,337.2520,339.3751,340.8944,0.0435,0
109,1,339.6925,341.8635,342.3589,0.2022,0
109,0,339.6925,341.8635,343.6627,0.0641,0
110,1,342.4746,344.6901,345.0739,0.2039,0
110,0,342.4746,344.6901,346.3365,0.0413,0
111,1,345.1388,347.3900,347.7672,0.2081,0
111,0,345.1388,347.3900,349.0525,0.0454,0
112,1,347.8300,349.9286,350.4743,0.3390,0
112,0,347.8300,349.9286,351.7340,0.0428,0
113,1,350.5377,352.6150,353.1714,0.3454,0
113,0,350.5377,352.6150,354.4749,0.0379,0
114,1,353.2301,355.3651,355.9145,0.3415,0
114,0,353.2301,355.3651,357.1619,0.0378,0
115,1,355.9733,358.0455,358.6206,0.3422,0
115,0,355.9733,358.0455,359.8834,0.0867,0
116,1,358.7308,360.8504,361.3723,0.3460,0
116,0,358.7308,360.8504,362.6622,0.1070,0
117,1,361.5071,363.6439,364.1487,0.3454,0
117,0,361.5071,363.6439,365.4435,0.0921,0
118,1,364.2611,367.2916,367.6264,0.1149,0
118,0,364.2611,367.2916,368.9452,0.0520,0
119,1,367.7008,369.7834,370.0367,0.0719,0
119,0,367.7008,369.7834,371.3185,0.2260,0
120,1,370.2861,372.4618,372.8540,0.2166,0
120,0,370.2861,372.4618,374.1409,0.0369,0
121,1,372.9106,375.0541,375.5217,0.2081,0
121,0,372.9106,375.0541,376.7794,0.0438,0
122,1,375.6107,377.8843,378.3311,0.2099,0
122,0,375.6107,377.8843,379.6049,0.0456,0
123,1,378.3978,380.4724,381.0206,0.3358,0
123,0,378.3978,380.4724,382.2796,0.0383,0
124,1,381.0833,383.1770,383.7204,0.3471,0
124,0,381.0833,383.1770,384.9949,0.0368,0
125,1,383.7877,385.9292,386.7345,0.3354,0
125,0,383.7877,385.9292,387.9890,0.0454,0
126,1,386.8013,389.0903,389.4689,0.2023,0
126,0,386.8013,389.0903,390.7549,0.0389,0
127,1,389.5297,391.7143,392.1438,0.2069,0
127,0,389.5297,391.7143,393.3932,0.0422,0
128,1,392.2057,394.3010,394.8300,0.3274,0
128,0,392.2057,394.3010,396.0768,0.0361,0
129,1,394.8892,396.9702,397.4844,0.3558,0
129,0,394.8892,396.9702,398.7201,0.0902,0
130,1,397.6076,400.5949,400.9457,0.1130,0
130,0,397.6076,400.5949,402.2299,0.0464,0
131,1,401.0132,403.1105,403.5531,0.2755,0
131,0,401.0132,403.1105,404.8211,0.1059,0
132,1,403.6807,405.8524,406.2307,0.2085,0
132,0,403.6807,405.8524,407.4969,0.0366,0
133,1,406.3116,408.4845,408.8577,0.2136,0
133,0,406.3116,408.4845,410.1122,0.0444,0
134,1,408.9288,411.3036,411.6741,0.2031,0
134,0,408.9288,411.3036,412.9382,0.0374,0
135,1,411.7308,413.9130,414.3787,0.2107,0
135,0,411.7308,413.9130,415.6514,0.0441,0
136,1,414.4577,416.5867,417.1463,0.3384,0
136,0,414.4577,416.5867,418.4131,0.0427,0
137,1,417.2087,419.2881,419.8920,0.3371,0
137,0,417.2087,419.2881,421.1809,0.0387,0
138,1,419.9510,422.0883,422.7050,0.4372,0
138,0,419.9510,422.0883,423.9576,0.0457,0
139,1,422.7708,424.8536,425.4142,0.3472,0
139,0,422.7708,424.8536,426.6585,0.0354,0
140,1,425.4672,427.5499,428.0466,0.3453,0
140,0,425.4672,427.5499,429.3045,0.0354,0
141,1,428.0992,430.1586,430.6767,0.3471,0
141,0,428.0992,430.1586,431.9594,0.0399,0
142,1,430.7360,433.7519,434.0845,0.1169,0
142,0,430.7360,433.7519,435.3691,0.0462,0
143,1,434.1482,436.2301,436.5617,0.0952,0
143,0,434.1482,436.2301,437.8257,0.3343,0
144,1,436.9162,439.0873,439.4633,0.2005,0
144,0,436.9162,439.0873,440.7212,0.0358,0
145,1,439.5351,441.6600,442.1747,0.3581,0
145,0,439.5351,441.6600,443.4313,0.0372,0
146,1,442.2379,444.5423,444.9783,0.2095,0
146,0,442.2379,444.5423,446.2364,0.0470,0
147,1,445.0471,447.1225,447.7036,0.3495,0
147,0,445.0471,447.1225,448.9592,0.0444,0
148,1,447.7685,449.8645,450.4139,0.3568,0
148,0,447.7685,449.8645,451.7988,0.0385,0
149,1,450.4835,452.6262,453.2845,0.3377,0
