step,lr,train_loss,val_loss,val_psnr_net,val_psnr_heur,seconds
1000,0.00198274,0.0106604,0.00713598,33.611,33.8503,40.1866
2000,0.00189966,0.0108202,0.00699855,33.7035,33.8503,80.7603
3000,0.00175354,0.0105445,0.00681454,33.9431,33.8503,117.45
4000,0.00155485,0.0102138,0.00682274,33.8332,33.8503,156.387
5000,0.00131783,0.0103475,0.00672607,33.9623,33.8503,193.319
6000,0.00105946,0.0101442,0.00672082,33.9637,33.8503,231.468
7000,0.000798266,0.00984148,0.00668165,34.0177,33.8503,269.101
8000,0.000552963,0.00991391,0.00669911,33.9631,33.8503,306.922
9000,0.00034113,0.0101556,0.00667398,34.0126,33.8503,348.078
10000,0.00017795,0.00974862,0.00660577,34.0777,33.8503,385.56
11000,7.51167e-05,0.00972607,0.0065573,34.0911,33.8503,424.623
12000,4e-05,0.0101015,0.00655334,34.0972,33.8503,463.212
