index,time_s,mid_time_s,render_res,display_res
0,0.050001,0.041668,640x360,1280x720
1,0.066668,0.058335,640x360,1280x720
2,0.083335,0.075001,640x360,1280x720
3,0.100002,0.091669,640x360,1280x720
4,0.116669,0.108336,640x360,1280x720
5,0.133336,0.125003,640x360,1280x720
